na_item,s_adj,unit,geo\time	2016Q1 	2016Q2 	2016Q3 	2016Q4 	2017Q1 	2017Q2 	2017Q3 	2017Q4 	2018Q1 	2018Q2 	2018Q3 	2018Q4 
B1GQ,SCA,MIO_EUR_SCA,AT	88266.4 	88326.6 	89179.4 	90527.3 	91277.1 	92089.2 	93012.2 	94164.5 	95589.2 	96407.9 	97257.3 	97723.2 
B1GQ,SCA,MIO_EUR_SCA,BE	103963.0 	106301.0 	106873.0 	107522.0 	108690.0 	109665.0 	109841.0 	110856.0 	111329.0 	112534.0 	112688.0 	114025.0 
B1GQ,SCA,MIO_EUR_SCA,BG	11851.5 	11799.2 	12072.9 	12329.9 	12567.1 	12795.4 	12990.5 	13198.0 	13383.5 p	13667.1 p	14013.8 p	14002.2 p
B1GQ,SCA,MIO_EUR_SCA,CH	150069.9 	150678.5 	152059.9 	153037.0 	154968.4 	153339.0 	148019.9 	145647.0 	146827.8 	147088.8 	150959.7 	152526.4 
B1GQ,SCA,MIO_EUR_SCA,CY	4512.0 	4572.0 	4645.1 	4761.1 	4810.1 	4876.6 	4947.3 	5014.6 	5127.9 	5237.3 	5155.6 	5210.0 
B1GQ,SCA,MIO_EUR_SCA,CZ	43701.3 	43845.6 	44217.7 	44522.9 	45335.1 	47364.4 	48997.0 	50445.5 	51398.6 	51354.9 	51897.9 	52402.2 
B1GQ,SCA,MIO_EUR_SCA,DE	782405.0 	786938.0 	788846.0 	795920.0 	806315.0 	816786.0 	825711.0 	832520.0 	837944.0 	847652.0 	851231.0 	853913.0 
B1GQ,SCA,MIO_EUR_SCA,DK	69190.4 	70500.3 	70693.7 	71704.7 	73396.5 	73092.7 	72866.6 	73448.2 	73262.9 	73979.6 	74868.4 	75523.1 
B1GQ,SCA,MIO_EUR_SCA,EA	2684126.0 	2694193.9 	2707391.7 	2734328.4 	2758646.6 	2790391.1 	2817857.8 	2844707.3 	2865821.9 	2888924.5 	2903534.0 	2921352.2 
B1GQ,SCA,MIO_EUR_SCA,EA19	2684126.0 	2694193.9 	2707391.7 	2734328.4 	2758646.6 	2790391.1 	2817857.8 	2844707.3 	2865821.9 	2888924.5 	2903534.0 	2921352.2 
B1GQ,SCA,MIO_EUR_SCA,EE	5304.2 	5327.0 	5449.5 	5594.7 	5736.1 	5857.9 	5934.4 	6074.8 	6182.6 	6338.6 	6489.9 	6629.3 
B1GQ,SCA,MIO_EUR_SCA,EL	43904.9 p	44139.8 p	44134.3 p	44127.6 p	44423.3 p	44867.8 p	45184.1 p	45266.7 p	45647.3 p	45813.9 p	46341.0 p	46261.4 p
B1GQ,SCA,MIO_EUR_SCA,ES	276064.0 p	278512.0 p	281176.0 p	282991.0 p	285943.0 p	290628.0 p	292767.0 p	296981.0 p	297662.0 p	301130.0 p	303220.0 p	306236.0 p
